id,title,image,year,artistIds,credit,status
photo-grooverider-2004,Grooverider,grooverider.jpg,2004,grooverider,Alkivar · CC BY-SA 2.5,verified
photo-ltj-bukem,LTJ Bukem,ltj-bukem-profile.jpg,,ltj-bukem,Wikimedia Commons source,verified
photo-dj-hype-2018,DJ Hype at Egg London,dj-hype-profile.jpg,2018,dj-hype,Wikimedia Commons source,verified
photo-shy-fx,Shy FX,shy-fx-profile.jpg,,shy-fx,Wikimedia Commons source,verified
photo-roni-size-2005,"Roni Size at the Savoy, Cork",roni-size-profile.jpg,2005,roni-size,Wikimedia Commons source,verified
photo-grooverider-flyer,Grooverider archive flyer,grooverider-flyer.jpg,,grooverider,Older archive scan,verified
photo-mc-det-flyer,MC Det archive flyer,mcdet-flyer.jpg,,mc-det,Older archive scan,verified
